"There are issues when processing your payment. Invalid payment request.","付款时存在问题。付款请求无效。"
"Atome payment failed. Please try again or use an alternative payment method.","Atome付款失败。请重试或使用其他付款方式。"
"Atome payment doesn't complete. Please try again or use an alternative payment method.","Atome付款未完成。请重试或使用其他付款方式。"
"Atome payment unexpected problem occurs.","Atome付款出现错误。"
"Error occurs when placing order: can not submit","下订单时发生错误：无法提交"
"The paid amount: %1.","支付金额: %1."
"Gateway error: %1","网关错误: %1"
"Atome API Error: HTTP=%1, Code=%2, Message=%3","Atome API Error: HTTP=%1, Code=%2, Message=%3"
.,.
"'unknown class to refund: ' .","'unknown class to refund: ' ."
"Authorise and Capture","授权"
"Check out with","通过"
"and enjoy 3 easy payments with 0% interest.","付款享受三期免息"
"New user $10 off.","新用户优惠$10"
"or 3 payments of [[installment_price]] by [[atome_logo]]","或者使用 [[atome_logo]] 每期付款 [[installment_price]] (共3期)"
"- 3 payments with 0% interest","- 免息三期付款"
"Three interest-free payments totalling","三期免息付款总额"
"First instalment","第一期分期付款"
"30 days later","30天之后"
"60 days later","60天之后"
"You will be redirected to Atome when you proceed to checkout. ","您将被重定向到Atome继续进行结帐"
https://www.atome.sg/,https://www.atome.sg/
"Terms & Conditions","条款及细则"
"Place Order","提交订单"
"The minimum amount should be S$30.00","最低金额应为 [[minimum_spend]]"
"Atome Payment Completed","Atome 付款完成"
Atome,Atome
"Atome Module Version","Atome 版本"
Enabled,启用
Title,标题
"Price Divider (Product List)","价格分割器 (产品列表页)"
"Price Divider (Product Detail)","价格分割器 (产品详情页)"
"Price Divider Plugin URL","价格分割器插件URL"
"API Environment","API 环境"
"Merchant Key","商户 Key"
"Merchant Secret","商户 Secret"
"Payment Action","支付动作"
Debug,调试模式
"Sort Order","排序"
"Exclude Category","排除分类"
"Payment from Applicable Countries","来自适用国家/地区的付款"
"Payment from Specific Countries","来自特定国家/地区的付款"
