"Please enter your email to be notified when this product becomes available","กรุณากรอกอีเมล์ของคุณเพื่อรับการแจ้งเตือนเมื่อสินค้านี้มีในสต็อกอีกครั้ง"
"Notify me","รับการแจ้งเตือน"
"Your email address...", "อีเมลของคุณ"
"Sign in to enjoy faster checkout, track you order and earn rewards!", "ลงชื่อเข้าใช้เพื่อการชำระเงินที่เร็วขึ้น ติดตามการสั่งซื้อ และรับคะแนนสะสม!"
"As low as", "ราคา :"
"City", "อำเภอ/เขต"
"Order Summary", "สรุปคำสั่งซื้อ"
"Subtotal", "ราคา"
"Shipping + Returns","การจัดส่ง + การคืนสินค้า"
"Shopping Bag", "ถุงช้อปปิ้ง"
"Offers","ส่วนลดพิเศษ"
"Enter Promo Code","กรอกโค้ดส่วนลด"
"Bag", "ถุง"
"ตะกร้า", "ถุง"
"เพิ่มในตะกร้า", "เพิ่มในถุงช้อปปิ้ง"
"สินค้าในตะกร้า", "สินค้าในถุงช้อปปิ้ง"
"มูลค่าสินค้าในตะกร้ารวม", "มูลค่าสินค้าในถุงช้อปปิ้งรวม"
"ดูและแก้ไขตะกร้า", "ดูและแก้ไขถุงช้อปปิ้ง"
"อัปเดตตะกร้า", "อัปเดตถุงช้อปปิ้ง"
"ได้รับการอัปเดตในตะกร้าสินค้าของคุณแล้ว", "ได้รับการอัปเดตในถุงช้อปปิ้งของคุณแล้ว"
"ตะกร้าของคุณแล้ว", "ถุงช้อปปิ้งของคุณแล้ว"
"คุณแน่ใจหรือไม่ว่าต้องการนำรายการนี้ออกจากตะกร้าสินค้า?", "คุณแน่ใจหรือไม่ว่าต้องการนำรายการนี้ออกจากถุงช้อปปิ้ง?"
"Add to Bag", "เพิ่มในถุงช้อปปิ้ง"
"Item in Bag", "สินค้าในถุงช้อปปิ้ง"
"Items in Bag", "มูลค่าสินค้าในถุงช้อปปิ้งรวม"
"Bag Subtotal", "มูลค่าสินค้าในถุงช้อปปิ้งรวม"
"View and Edit Bag", "ดูและแก้ไขถุงช้อปปิ้ง"
"Update Bag", "อัปเดตถุงช้อปปิ้ง"
"%1 was updated in your shopping bag.", "%1 ได้รับการอัปเดตในถุงช้อปปิ้งของคุณแล้ว"
"Are you sure you would like to remove this item from the shopping bag?", "คุณแน่ใจหรือไม่ว่าต้องการนำรายการนี้ออกจากถุงช้อปปิ้ง?"
"You have no items in your shopping bag.", "คุณไม่มีรายการสินค้าในถุงช้อปปิ้งของคุณ"
"You added %1 to your <a href=""%2"">shopping bag</a>.", "คุณได้เพิ่ม %1 ลงใน <a href=""%2"">ถุงช้อปปิ้ง</a>ของคุณแล้ว"
"Free gift <strong>%1</strong> was added to your shopping bag", "ของขวัญฟรี <strong>%1</strong> ถูกเพิ่มลงในถุงช้อปปิ้งของคุณแล้ว"
"Free gift <strong>%1</strong> was added to your shopping cart", "ของขวัญฟรี <strong>%1</strong> ถูกเพิ่มลงในถุงช้อปปิ้งของคุณแล้ว"
"Shopping Bag", "ถุงช้อปปิ้ง"
"Shopping Cart", "ถุงช้อปปิ้ง"
"%1 was updated in your shopping cart.", "%1 ได้รับการอัปเดตในถุงช้อปปิ้งของคุณแล้ว"
"You added %1 to your <a href=""%2"">shopping cart</a>.", "คุณได้เพิ่ม %1 ลงใน <a href=""%2"">ถุงช้อปปิ้ง</a>ของคุณแล้ว"
"Are you sure you would like to remove this item from the shopping cart?", "คุณแน่ใจหรือไม่ว่าต้องการนำรายการนี้ออกจากถุงช้อปปิ้ง?"
"You’ve viewed %1 products", "คุณกำลังดูสินค้า %1 รายการ"
"You’ve viewed %1 of %2 products", "คุณกำลังดูสินค้า %1 จาก %2 รายการ"
"เพิ่มทั้งหมดไปที่ตะกร้าสินค้า", "เพิ่มทั้งหมดไปที่ถุงช้อปปิ้ง"
"Add All to Bag", "เพิ่มทั้งหมดไปที่ถุงช้อปปิ้ง"
"AE NEWSLETTER", "ข่าวสาร AE"
"Sign up for emails to stay in the know about AE", "กรอกอีเมลเพื่อรับข่าวสารและโปรโมชั่น"
